model,topic,article_dialect,target_dialect,bartscore
gpt_oss,artificial intelligence,AUS,US,-2.5449
gpt_oss,artificial intelligence,AUS,UK,-6.3528
gpt_oss,artificial intelligence,AUS,AUS,-2.2509
gpt_oss,artificial intelligence,AUS,US,-2.8952
gpt_oss,artificial intelligence,AUS,UK,-6.6694
gpt_oss,artificial intelligence,AUS,AUS,-2.9456
gpt_oss,artificial intelligence,US,US,-2.3542
gpt_oss,artificial intelligence,US,UK,-2.0564
gpt_oss,artificial intelligence,US,AUS,-2.1069
gpt_oss,artificial intelligence,US,US,-6.2357
gpt_oss,artificial intelligence,US,UK,-6.2357
gpt_oss,artificial intelligence,US,AUS,-3.4833
gpt_oss,artificial intelligence,UK,US,-2.7414
gpt_oss,artificial intelligence,UK,UK,-6.0964
gpt_oss,artificial intelligence,UK,AUS,-2.5111
gpt_oss,artificial intelligence,UK,US,-3.4784
gpt_oss,artificial intelligence,UK,UK,-3.1017
gpt_oss,artificial intelligence,UK,AUS,-6.408
gpt_oss,elections,AUS,US,-2.177
gpt_oss,elections,AUS,UK,-2.5437
gpt_oss,elections,AUS,AUS,-1.9318
gpt_oss,elections,AUS,US,-2.2434
gpt_oss,elections,AUS,UK,-5.4542
gpt_oss,elections,AUS,AUS,-2.684
gpt_oss,elections,US,US,-1.8691
gpt_oss,elections,US,UK,-6.4895
gpt_oss,elections,US,AUS,-2.7886
gpt_oss,elections,US,US,-2.5367
gpt_oss,elections,US,UK,-3.0676
gpt_oss,elections,US,AUS,-3.1606
gpt_oss,elections,UK,US,-2.8163
gpt_oss,elections,UK,UK,-3.5862
gpt_oss,elections,UK,AUS,-3.1368
gpt_oss,elections,UK,US,-2.8685
gpt_oss,elections,UK,UK,-2.548
gpt_oss,elections,UK,AUS,-2.5589
gpt_oss,energy,AUS,US,-2.0872
gpt_oss,energy,AUS,UK,-2.0628
gpt_oss,energy,AUS,AUS,-6.4783
gpt_oss,energy,AUS,US,-6.3349
gpt_oss,energy,AUS,UK,-2.608
gpt_oss,energy,AUS,AUS,-6.3349
