file,model,topic,article_dialect,target_dialect,score,reasoning
summary_articles/elections_bbc_001.json,gpt_oss,elections,UK,,10,The summary accurately and concisely captures all key points of the original without omissions or errors.
summary_articles/elections_bbc_002.json,gpt_oss,elections,UK,,8,"Accurately captures the core story about young voters, Kirk's death, the hearings, and political implications, but omits some specifics like the named conspiracists and production details."
summary_articles/energy_abc_au_001.json,gpt_oss,energy,AUS,,8,"The summary accurately covers the key facts about ZEN Energy's administration, the role of wholesale volatility, government actions, and the Queensland precinct withdrawal, though it omits some finer details and stakeholder specifics."
summary_articles/energy_abc_au_002.json,gpt_oss,energy,AUS,,6,"The summary captures the core ideas of Iran's Strait of Hormuz action and China's AI model release but omits several contextual details and nuances, leading to a moderately accurate but incomplete representation."
summary_articles/energy_ap_us_001.json,gpt_oss,energy,US,,9,The summary accurately captures the key facts and impacts of the attacks with minor omissions of peripheral details.
summary_articles/energy_ap_us_002.json,gpt_oss,energy,US,,8,"The summary accurately captures the main points about the festival, Hemingway's novel anniversary, American participation, and Bill Hillmann's background, with minor omissions but no errors."
summary_articles/energy_bbc_001.json,gpt_oss,energy,UK,,5,"The summary captures the main point about Trump's condition linking the nuclear deal to Saudi recognition of Israel, but adds an inaccurate claim that Israel welcomed it and omits several nuances, leading to notable inaccuracies."
summary_articles/energy_bbc_002.json,gpt_oss,energy,UK,,8,"The summary accurately captures the key facts and tone, though it omits minor details like the Albanian fan energy comment and the broader 'conquer the universe' quote."
summary_articles/global_economy_abc_au_001.json,gpt_oss,global economy,AUS,,2,"The summary contains several factual errors and omissions, misrepresenting key details such as an alleged U.S. attack and omitted countries, thus failing to accurately reflect the original article."
summary_articles/global_economy_abc_au_002.json,gpt_oss,global economy,AUS,,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness"
summary_articles/global_economy_ap_us_001.json,gpt_oss,global economy,US,,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness."
summary_articles/global_economy_ap_us_002.json,gpt_oss,global economy,US,,2,"The summary is severely incomplete, cutting off after the opening phrase and omitting the main points, context, and details of Rubio's warning."
